Opcode,SHA-256 Hash
mrs,1c27dde8913a588e4a1f3ed94499a3450119f39d2b55a51370e72ee6f0dbdf4d
ldr.w,a6dec098c1a8ead58f6e8039f36baa0c6c2e893d636420744af2e6283a58fab5
stmdb,bab36759f2ad7bd56b89665a322287e72f7a84a84f71d4e29d601179f12a7c72
mov,f99248e3bf7f7b76eed6901b758085df4dab66bd43e659843892165437c04cb6
bl,88c8e6aa28353f778eac1f15d78f7b6892ebd8d0a502de888815083b79cb22d5
ldmia.w,919897329562cf3c1a1380a25e00ae0b878b5951cb2586e43e325ff6786392e2
bx,5b1b6e41abae9340c7b521924f67f59670b9e05815bcf1a5b83cb34ef2f18881
cmncc,4cac9f999972f4aa50d839cb25616e7b8ffa747d012662137d84d9a766120969
cdp,5f30c0841f5d0bc31e8a0e70c9291ec1c8ac9e08b3c11b25d9d485db5b8ffc01
vmrs,330dc20b9357958ea5e1ee8114b05bef75b752bcaaef4ba21ec77b3bf9a08bb8
vstmia,31059c146a078778bf56ddfe2c6984dc793f95fd610ff74373a23517a6c93673
str,d5b3d2fde715025267fdb473ae9dbcc2206f307abc2c4ff5f056d3d285bbbd0d
eor.w,344e0bc718fdb4a2bd8ddffac4dbb241c5ec87d5543b4fee38e3333fb6698bed
b.n,78bada22c4e667712bbc60327f93ce6cdf9c492736abc1185fdb233faafd7c06
push,d9f1916103bf870cd0901a9698411aea5864af0481d22fdc3d0587e181a9540d
mov.w,56dc08ecf749981ad5017ddad56ae5fb3a22692ad247c266ac3507b3caa12947
teq,ef98ddd09c6b123f17aab6563b95d96a073f085922b8ecf1514fd5d70d6fab8b
it,38e2cd3f05682bbbe8c6421b2fa35bf0e7fd7d7486ff562110f033b61514dc7e
teqeq,56297e8d8e08b8c5cfcc8d7c785104d17bb7368ad08c6f5040df2eac14543618
itttt,c83d3bcd2e6e3712ac298d463d2745aada0fe4aa764b6825eee2e84c147aa143
orrsne.w,f799d324926d3faad088c297ae0a37bd787240ab5e1d657f660809a65896d374
mvnsne.w,0c4f9d18061cff1242e63df9abd943f60c011a26bdaacdd702887935d6260734
beq.w,8b8c58aaa60853e548b5e5ba212aaddeaa3a948b46114033eceaa8a3fb28110a
rsbs,3d0e3f3a29755cd864cb35dd08ef7191acfcc9ded0c43fa22aed07fc80d7fb92
neglt,c7054bb469aeca4abaa26f5c399d9c8dc6d20c7e15e364a0510bdfc2a4898ec1
ble.n,30015d7b6e8758050d80bb19cff73e06b8ec1b4bee95a7b6c06642750d38b9d2
add,9476361fe576383c1cb142cd0d8a033999a1a440dac5312434d078bf8fa6f3d3
cmp,d446a2ae3847bfe6af8af7ad7dbaf3fce1dd22638edc064ceb4e5c4773d862fc
pophi,fea006f6be5606e49a96c08f1b879279a3fe975a5d06d290aa15327465bebf23
tst.w,323aeb4dbbd2800ba19365984c2f7567f97a7b5a7bc77e3145fb5faa9e6ca69f
orr.w,e6fb032c922a3ec7499e8945ff9bd8d3e06112ca664809aa1aed2bf5241caa18
beq.n,46d7e55e381681a189e2a3a74e10853abc0ae141c81c5c6ac56d137851844243
negs,8d21f71bd6ff46a812e2dcd10d33e8b8099af1d2e62e15dd617c7fce20695bc4
sbc.w,49f9045f1012c23703e9ea4cde0a19eb07aa9437601ffffa8304d39fe06bc089
sub.w,77c63bcac5f368824eed053e40b1ec990aae5a086e3c35cc47d98ca688164305
blt.n,23541a5169c86a2449d9cdb55d01476d3f3ee7b595059e5c862163ba0903b24c
lsl.w,78fa598521b22b9cd6c3db8d1b4f117bdd977f3fe9a3c2e83d3816e369ac0b27
lsr.w,61902e97f2b8c6eb19113ac000b42aeef5cb216ab8ee1a48473f60c2310e896d
adds,72c34ef8c0e1770041beb2842776d090ba2fd6570bd1f4ffafdb224a8acd7a20
adc.w,3260dcd1d53f315d2a0c7f3775cbecce5ddd55cd2e1f1a8b62ae1102ff404eda
asr.w,fc99a79ebfec7e1fa3ad71c71eea1d54522c57895d9d4edd0195aec263ca1a90
adcs,af7071cac34c16f58acd4fa62140eb5503145020876d62f3663d98e25a69e13a
add.w,0d360a3afdef99fa5ee8d6a65d41bb4be14181b485b43e5c9fa91829d4617675
orrcs.w,12ac892f8a7e247de3ef10c3c19925dfa019f1ebe8c71b46afd7df21714142a4
adcs.w,6860e6b4c25e1e0e24eba41c7675f4fbdc4718490abf7ac8853ccf7cb8f31ace
and.w,a5fbd58bbe491d7ec4499e5741393126a1538e023ada49b9960dbc17e9f3c174
bpl.n,d00c0901e3e8b3e1022911a03f04cb9f623c295f6e99d278943b185b32432ff3
sbcs.w,13ece092d50f32fa05fdb20656a61a22da6587ea97289a0f8cbfcdf1d8d21bf8
cmp.w,c6f0ff4d8d7b6affad1f77c66e727f873e4b32ea085bea262d8b6ae8c9f85908
bcc.n,7c0b9b0e7ed45d6d2a34b5f813c2f0d8af20f11b317c2aabb8ab0de986ea8fe7
lsrs,d5ac82489bac29be6dcc22da1591173ab90466037841db829ba03e26d7b19604
movs.w,0015edc63b5b2be01e9b39aad85c4d030cf9be0f824a0979f35973810e8a4d88
cmn.w,0a9603fd93fa249de6ce0e8ced8b3041126c9736cf77b7e3a93986f9ca67eac3
bcs.w,d35bec5d891826cfe9e69524b02c46ecd3e58fc6586533f5de54567a72027e3f
movseq.w,30c156689dba1dbe2564eb2955f3ce2754e940acba32c3d15305d0aa4189e153
pop,1386d0a77592bf45e01eb001b996bd092eeb83b3271c1428732b5ab3edd49603
subs,788126afb9403bb79e98a4ff67660b5551d4a99b846221d93cd35c3949a91a15
cmpcs.w,2c5417ab996d019c53aabf5ebfe2d241379926fcf28c5a56f3f090163b59f453
bcs.n,19e207ddaf81928c6afb4b473d35b26190fdb1ecb9bb65e341c139d499ceafba
itt,2b8dd4664dd584d030f2b371e2c9f8ad1e052a4a1f96882d10aa5a8ff10d7542
moveq,c676ad014e619aada308ff7e00c166dc4f2e6f1aea64f5f0529b28bf9a21494a
clz,57112adb0c0a16bc9b61636970c53ee3bc1d6a4ea2a9b755e9973c1d243fc31b
addeq,0fecee91a6fa3c6f6afc69c64d8b321a4e9232c4f067bebc631609fda88ca977
subs.w,cc254885dc44209f4c7553ee47e79ca731423c1d41d21a141eb3c465786aec9d
